,YEAR,SEX,STATE,COUNTY,GEOID,RACE,AGE,SSP1,SSP2,SSP3,SSP4,SSP5
2846707,2050,1,37,49,37049,2,8,597.3660583292068,599.0071290062194,521.4638186432031,578.6821899827557,687.1145856083192
2846708,2050,1,37,49,37049,2,9,624.6999990520334,619.7138078881278,561.1187495189873,618.6255186628529,677.7462920629832
2846709,2050,1,37,49,37049,2,10,548.5257865222267,542.5821254192383,487.82370247130933,541.4493188862886,596.8589929039231
2846710,2050,1,37,49,37049,2,11,524.102121634759,516.2025494665783,458.0176872112853,514.7715087638321,573.7749229407099
2846711,2050,1,37,49,37049,2,12,443.79249718420965,434.23353851130815,388.79185774163676,432.8815236820041,478.98674905213466
2846712,2050,1,37,49,37049,2,13,332.70185075389037,322.48555315791833,289.85370706694323,321.63775079909124,354.37504196990983
2846713,2050,1,37,49,37049,2,14,332.88778583247347,318.1006197684968,287.15753631094486,317.53877718011387,347.87541455003515
2846714,2050,1,37,49,37049,2,15,266.46901858391516,250.33246924224431,223.24392182018573,250.4455231716631,275.60912666403857
2846715,2050,1,37,49,37049,2,16,225.2819962066284,205.099241020018,178.42926580393703,205.13429804449126,230.23427028517762
2846716,2050,1,37,49,37049,2,17,160.13054228205874,138.94743034191916,115.40007602629576,138.96021849155272,162.30757307844505
2846717,2050,1,37,49,37049,2,18,117.18132373078598,88.27545799891013,64.40242353251145,88.27437196572416,117.73234313234795
2846718,2050,1,37,49,37049,3,1,764.4267329839682,788.5039242341537,528.1963748384499,620.6176951663095,1118.04686612319
2846719,2050,1,37,49,37049,3,2,603.387587861935,619.620769302483,439.63141648243555,508.59519344456015,835.1824730849446
2846720,2050,1,37,49,37049,3,3,514.9236013834355,527.865284348459,389.9030067903639,446.6599711016479,682.2829508356342
2846721,2050,1,37,49,37049,3,4,608.3614226463662,625.3709008271308,472.1375467364759,537.9867431429707,785.2038123186703
2846722,2050,1,37,49,37049,3,5,1414.1772061907739,1456.600335068534,1114.8871158785714,1261.4138890030895,1794.1611075805713
2846723,2050,1,37,49,37049,3,6,862.3718345979038,881.5042840603285,709.6343997996618,801.978619986662,1057.7333264759966
2846724,2050,1,37,49,37049,3,7,706.5254518624733,716.3284336051057,602.0235413234024,674.4235280960842,840.2459307234266
2846725,2050,1,37,49,37049,3,8,707.3966050266162,709.339949160989,617.5137167721828,685.2713020356654,813.6761678142209
2846726,2050,1,37,49,37049,3,9,700.3657802857996,694.7756447480017,629.0833543080001,693.555538243131,759.8372201005266
2846727,2050,1,37,49,37049,3,10,602.4116555356254,595.8841032983911,535.7463430816339,594.6400125451696,655.4930011882111
2846728,2050,1,37,49,37049,3,11,456.4201102115071,449.5406807057104,398.8697519936353,448.2944431342477,499.6782168107702
2846729,2050,1,37,49,37049,3,12,29.64931436035698,29.010690290665067,25.97477894301618,28.92036358855036,32.000605659625066
2846730,2050,1,37,49,37049,3,13,231.27808390139373,224.17621257964194,201.49214628730056,223.58686177010387,246.34422833404807
2846731,2050,1,37,49,37049,3,14,265.3739882281626,253.5858439945846,228.9184040503029,253.1379500952553,277.32193878728543
2846732,2050,1,37,49,37049,3,15,253.94614678962924,238.56794428948547,212.7524394457447,238.6756851814957,262.656709993273
2846733,2050,1,37,49,37049,3,16,171.00081627558902,155.6810496288337,135.4371437295953,155.70765974372117,174.7598512811011
2846734,2050,1,37,49,37049,3,17,128.46713032225028,111.47266091333955,92.58144258297907,111.48292039827068,130.2136859452387
2846735,2050,1,37,49,37049,3,18,188.33607184535282,141.8780098273997,103.50881078370425,141.87626433402562,189.2216807998921
2846736,2050,1,37,49,37049,4,1,278.99727606638646,287.7848687607305,192.77890666227933,226.5104541204353,408.0600752217176
2846737,2050,1,37,49,37049,4,2,270.7128670617787,277.9959653185336,197.24283959520787,228.18378395732103,374.708804683444
2846738,2050,1,37,49,37049,4,3,280.36087109869413,287.40723972465906,212.29080650810295,243.1933169241675,371.4831519047541
2846739,2050,1,37,49,37049,4,4,231.7066301170426,238.18503049320407,179.82303912394536,204.90302419087047,299.0605954532588
2846740,2050,1,37,49,37049,4,5,314.1902750546546,323.6154973481784,247.696461277516,280.25057610084104,398.611976925796
2846741,2050,1,37,49,37049,4,6,323.5609554425697,330.73942925126653,266.2540393856356,300.9014883334974,396.8603704196777
2846742,2050,1,37,49,37049,4,7,326.71597553113213,331.2491324538093,278.3915400042354,311.87120056638906,388.551846531078
2846743,2050,1,37,49,37049,4,8,389.7191881019207,390.78981594048935,340.20087548087633,377.5299083444672,448.2707624621822
2846744,2050,1,37,49,37049,4,9,355.0447942874793,352.21092007785325,318.90874227009976,351.59239690721245,385.1933619493423
2846745,2050,1,37,49,37049,4,10,359.397117148601,355.502797650395,319.6247772716904,354.7605765693944,391.0653002367012
2846746,2050,1,37,49,37049,4,11,325.51535269818675,320.6089958750748,284.47087474011363,319.7201887135489,356.3667054577959
2846747,2050,1,37,49,37049,4,12,356.289684237671,348.6154707509221,312.1335513958615,347.5300334357945,384.54466593421654
2846748,2050,1,37,49,37049,4,13,310.5112574717293,300.9763678820188,270.52100509887646,300.1851123602044,330.73888723291645
2846749,2050,1,37,49,37049,4,14,277.61443962397993,265.2825638532554,239.47733115952903,264.8140107192293,290.1134928328954
2846750,2050,1,37,49,37049,4,15,212.8771026291119,199.9859159217731,178.34538329894153,200.0762325862146,220.17896359649066
2846751,2050,1,37,49,37049,4,16,179.2117947590998,163.1564159845861,141.9404546333259,163.1843038423846,183.1513280582533
2846752,2050,1,37,49,37049,4,17,122.27819594883024,106.10243912125462,88.12130969991915,106.11220435307379,123.94061084178837
2846753,2050,1,37,49,37049,4,18,126.81521156484872,95.53289317531944,69.69717277070438,95.53171785553421,127.41153220503841
2846754,2050,1,37,51,37051,1,1,1595.7976958965942,1646.060624523808,1102.6492423385846,1295.5856267782071,2334.006041231963
2846755,2050,1,37,51,37051,1,2,1490.0665070988339,1530.1543717728975,1085.670408783398,1255.9765541557642,2062.4843060984645
2846756,2050,1,37,51,37051,1,3,1453.070111046542,1489.5904271722595,1100.2727469708095,1260.4360182073315,1925.3437994924066
2846757,2050,1,37,51,37051,1,4,2306.2382173571536,2370.7194733630663,1789.8269245876443,2039.4547406879967,2976.63029405546
2846758,2050,1,37,51,37051,1,5,5018.0720249902815,5168.606424287711,3956.069877750272,4476.006062486836,6366.408412511989
2846759,2050,1,37,51,37051,1,6,3785.117741671021,3869.093784250861,3114.7234278983433,3520.0401742802173,4642.597333744989
2846760,2050,1,37,51,37051,1,7,2858.4502077218867,2898.1109660493516,2435.657925999689,2728.572720058259,3399.454540360088
2846761,2050,1,37,51,37051,1,8,3513.3040600046693,3522.9557303530473,3066.898304046362,3403.418154029737,4041.144336285277
2846762,2050,1,37,51,37051,1,9,3501.896030243132,3473.944816749595,3145.4770680604115,3467.8441672802032,3799.258929548476
2846763,2050,1,37,51,37051,1,10,3177.1712764180256,3142.744400239776,2825.572641305413,3136.1829577941144,3457.1268934305485
2846764,2050,1,37,51,37051,1,11,2681.40229381133,2640.98663804978,2343.302242822002,2633.6651721283833,2935.537428670852
2846765,2050,1,37,51,37051,1,12,2411.780899515248,2359.8329416456713,2112.8810927128307,2352.485445773465,2603.043313743395
2846766,2050,1,37,51,37051,1,13,2860.7674538182905,2772.9216796067767,2492.3337506742005,2765.631773073624,3047.12638122033
2846767,2050,1,37,51,37051,1,14,2634.39748045796,2517.3752444974675,2272.4987889245426,2512.928951295245,2753.006131817292
2846768,2050,1,37,51,37051,1,15,1960.488037563544,1841.7668739550365,1642.468758706436,1842.5986437322613,2027.7344013184995
2846769,2050,1,37,51,37051,1,16,1773.7818272826007,1614.8707514873222,1404.881856817852,1615.1467767089396,1812.7740854841682
2846770,2050,1,37,51,37051,1,17,1351.25082445142,1172.4985572971518,973.7957896727847,1172.6064692388045,1369.6215525870396
